,Item,Price
0,Brown Sandwich Bread 700 g,R 15.69
1,White Sandwich Bread 700 g,R 16.69
2,White Thick Slice Bread 700 g,R 16.69
3,Thick Slice Brown Bread 700 g,R 15.69
4,White Hotdog Rolls 6 Pk,R 18.99
5,White Hamburger Rolls 6 Pk,R 18.99
6,High Fibre Wholewheat Brown Bread 700 g,R 21.99
7,Tante Anna Whole-Wheat Brown Bread 700 g,R 19.99
8,High Fibre White Bread 700 g,R 19.99
9,Traditional Hot Cross Buns 6 Pk,R 30.99
10,All Butter Croissants 8 Pk,R 74.99
11,Brown Seeded Rolls 8 PK,R 24.99
12,Seeded Wholewheat Brown Bread 800 g,R 19.99
13,Banana Muffins 4 Pk,R 34.99
14,Cape Seed Bread 500 g,R 24.99
15,Fresh Vanilla Flavoured Custard 500 ml,R 28.99
16,Fresh Tortilla Wraps 6 x 44g,R 36.99
17,Oats & Honey Flavoured White Bread 700 g,R 20.99
18,Assorted Muffin Selection 12 Pk,R 79.99
19,Burger Buns 4 x 80g,R 24.99
20,Ciabatta Bread 400 g,R 39.99
21,Chocolate Muffins 4 Pk,R 34.99
22,Brown Seeded Rolls 2 PK,R 18.99
23,Brown Hamburger Rolls 6 Pk,R 18.99
24,Carrot & Pecan Nut Muffins 4 Pk,R 34.99
25,Chocolate Mousse 1 L,R 49.99
26,Vanilla Choc Chunk Muffins 4 Pk,R 34.99
27,White Cheese Rolls 4 Pk,R 24.99
28,100% Rye Bread 400 g,R 34.99
29,English Muffins 4 Pk,R 23.99
30,All Butter Croissants 4 Pk,R 49.99
31,Extra Spicy Hot Cross Buns 6 Pk,R 30.99
32,Garlic Butter Filled Baguette 280 g,R 46.99
33,Milk Tart 600 g,R 56.99
34,Crushed Wheat Sourdough Bread 400 g,R 39.99
35,Flapjacks 6 Pk,R 19.99
36,Blueberry Muffins 4 Pk,R 34.99
37,Our Ultimate Hotdog Rolls 4 Pk,R 24.99
38,Lemon & Poppyseed Muffins 4 Pk,R 34.99
39,Soft Rye Bread 500 g,R 36.99
40,Mini Garlic Butter Baguettes 4 Pk,R 49.99
41,Mini Koeksisters 12 Pk,R 36.99
42,White Pita Bread 6 Pk,R 34.99
43,All Butter Scones 4 Pk,R 39.99
44,Madeira Butter Cake Loaf  260 g,R 39.99
45,Cheese & Herb Muffins 4 Pk,R 43.99
46,Crème Caramel Dessert 3 x 100ml,R 32.99
47,Portuguese Rolls 6 Pk,R 35.99
48,Heat & Eat Ciabatta Rolls 6 Pk,R 35.99
49,Multiseed Wraps 8x54g,R 65.99
50,Banana Cake Loaf 320 g,R 39.99
51,Mini Frosted Doughnuts 10 Pk,R 22.99
52,White Flour Wraps 8x54g,R 61.99
53,Malva Pudding 430 g,R 69.99
54,Brown Sandwich Bread Thins 8 Slices,R 11.99
55,Multiseed Bread 480 g,R 45.99
56,Syrup Waffles 6 Pk,R 26.99
57,Fruit Cake Loaf 400 g,R 69.99
58,Caramel Swiss Rolls 5 Pk,R 56.99
59,Carrot Teacake Loaf 420 g,R 56.99
